Campeon,Resultado,Kills,Deaths,Assists,Daño,Oro
Yuumi,Victoria,1,3,31,10044,12407
Lulu,Victoria,2,8,23,12122,10473
Seraphine,Victoria,1,6,15,20264,9097
Yuumi,Derrota,0,3,8,5597,7209
Yuumi,Victoria,1,4,26,9248,10925
Aurora,Derrota,5,9,14,39386,12555
Yuumi,Victoria,1,3,25,13446,10674
Aphelios,Victoria,10,10,11,27144,14327
Zeri,Derrota,18,7,8,49490,20981
Zeri,Victoria,9,9,4,24802,17132
Yuumi,Derrota,4,6,11,6714,7307
Yuumi,Victoria,1,3,23,7671,11651
Yuumi,Victoria,0,3,19,7427,10018
Zeri,Derrota,3,6,7,18329,13010
Lulu,Derrota,2,9,13,9253,7644
Seraphine,Derrota,1,6,16,20019,9174
Zeri,Derrota,5,9,3,22212,14999
Nami,Derrota,3,3,15,13249,9755
Soraka,Victoria,1,4,15,5443,7900
Zeri,Victoria,13,9,8,88062,24854
Nami,Victoria,1,2,25,9347,9075
Seraphine,Derrota,0,3,6,12536,9494
Milio,Victoria,1,5,17,4261,8601
Zeri,Derrota,9,9,13,60027,24496
Soraka,Derrota,1,8,10,7414,8393
Seraphine,Derrota,2,7,7,16873,8240
Gwen,Derrota,3,8,4,11520,9830
Seraphine,Victoria,10,4,28,32894,15621
Seraphine,Victoria,2,2,6,6661,5238
Yuumi,Derrota,3,5,23,11358,11545
Zeri,Victoria,12,7,9,51334,18572
Milio,Victoria,0,4,34,5032,10592
Soraka,Victoria,2,5,24,8563,13316
Kaisa,Derrota,21,5,6,76714,23795
Belveth,Victoria,12,3,5,21557,17876
Belveth,Victoria,7,5,7,24606,19833
Seraphine,Victoria,5,13,28,32760,15059
Yuumi,Derrota,1,5,12,5499,7316
Lulu,Victoria,1,6,24,10189,12067
Seraphine,Victoria,7,4,22,30401,15595
Seraphine,Victoria,5,3,14,19249,10942
Nami,Derrota,0,5,19,8429,7886
Renata,Victoria,0,0,0,0,511
Nami,Victoria,2,7,26,9928,9225
Nami,Victoria,1,0,0,457,818
Seraphine,Derrota,5,7,20,24843,11488
Seraphine,Victoria,3,5,22,29834,12669
Seraphine,Derrota,0,0,0,53,524
Zeri,Victoria,22,6,14,50586,23935
Zeri,Derrota,1,6,0,6472,5671
